map_link,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,Cw1rxd,R8c4Qb,Jn12ke src,ah5Ghc,doJOZc,W4Efsd 7,ah5Ghc 2,ah5Ghc 3
https://www.google.co.id/maps/place/Century+Photocopy+Center/data=!4m7!3m6!1s0x2e7a59f1852b4cd3:0x2c20dab1987b8d28!8m2!3d-7.778758!4d110.4167304!16s%2Fg%2F11b66fz5ht!19sChIJ00wrhfFZei4RKI17mLHaICw?authuser=0&hl=id&rclk=1,Century Photocopy Center,"4,8",-38,Toko Percetakan,·,·,Segera tutup,· 20.20 · Buka Sen pukul 08.08,Jl. Tambak Bayan IX No.1c,0896-0439-9928,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Recommended banget buat teman² 😊Thank you century""",,·,,
https://www.google.co.id/maps/place/Fotocopy+Surya+UPN/data=!4m7!3m6!1s0x2e7a59e2eb98958b:0xf21a039c713ff711!8m2!3d-7.7635104!4d110.4067776!16s%2Fg%2F11ssjtyq6v!19sChIJi5WY6-JZei4REfc_cZwDGvI?authuser=0&hl=id&rclk=1,Fotocopy Surya UPN,"3,6",-28,Toko Fotokopi,·,Jl. Pintu Selatan UPN No.77,·,Buka 24 jam,,0895-4161-17520,,Situs Web,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pelayanan ramah, hasil bagus, yang pasti harga mahasiswa banget.""",,,,
https://www.google.co.id/maps/place/Agung+Digital+Printing/data=!4m7!3m6!1s0x2e7a59f1ff9ab6ff:0xb7f053ad1fb3cc2b!8m2!3d-7.782569!4d110.4140414!16s%2Fg%2F1ptycv8_h!19sChIJ_7aa__FZei4RK8yzH61T8Lc?authuser=0&hl=id&rclk=1,Agung Digital Printing,"4,1",-750,Toko Percetakan,·,·,Jl. Babarsari No.5,Tutup,· Buka Sen pukul 08.00,(0274) 488612,,Situs Web,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Tempat",,·,print,"stiker andalan, pelayanan juga oke, harga lumayan terjangkau"""
https://www.google.co.id/maps/place/fotocopy+Daniswara/data=!4m7!3m6!1s0x2e7a59fc63a9fcb9:0xe9f7d0d95d9f4b70!8m2!3d-7.7732905!4d110.416044!16s%2Fg%2F11s8_6z212!19sChIJufypY_xZei4RcEufXdnQ9-k?authuser=0&hl=id&rclk=1,fotocopy Daniswara,"4,9",-12,Toko Percetakan,·,"16 6A, Jl. Babarsari Jl. Tambak Bayan",,,,0895-3230-98924,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""pelayanan memuaskan.. Hasil rapi.. Cepat dan bagus.. Mantapppp""",,,,
https://www.google.co.id/maps/place/Kurnia+Abadi+Photo+Copy/data=!4m7!3m6!1s0x2e7a57503b6151df:0x31f9b785120ee543!8m2!3d-7.8031438!4d110.4161985!16s%2Fg%2F11fzv1h768!19sChIJ31FhO1BXei4RQ-UOEoW3-TE?authuser=0&hl=id&rclk=1,Kurnia Abadi Photo Copy,"4,5",-110,Toko Fotokopi,·,·,Buka,· Tutup pukul 22.00,Jl. Cendrawasih 27 No.222,,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pelayanan cepet, kompilt, harga wajar, tapi kadang ramai banget.""",,,,
https://www.google.co.id/maps/place/BeOne+Photocopy+Pusat/data=!4m7!3m6!1s0x2e7a59ba36014b33:0x2328a289374bf12!8m2!3d-7.7676493!4d110.3928901!16s%2Fg%2F1pzpz4c2_!19sChIJM0sBNrpZei4REr90kyiKMgI?authuser=0&hl=id&rclk=1,BeOne Photocopy Pusat,"4,3",-424,Toko Fotokopi,·,·,Buka 24 jam,,Gg. Argulo No.19,(0274) 545571,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Tempat yg up-to-date tenaga ahli hrg bersahabat hasil bagus 👍""",,·,,
https://www.google.co.id/maps/place/Excellent+Fotocopy+Tambakbayan+2/data=!4m7!3m6!1s0x2e7a59005b5768a3:0xa9ed011dd5e3ef4d!8m2!3d-7.7819295!4d110.4162468!16s%2Fg%2F11x33g0dx5!19sChIJo2hXWwBZei4RTe_j1R0B7ak?authuser=0&hl=id&rclk=1,Excellent Fotocopy Tambakbayan 2,"5,0",-1,Toko Percetakan,·,Jl. Babarsari Jl. Tambakbayan III No.9,Buka,· Tutup pukul 00.00,·,0895-1053-0780,,Rute,,,,,,
https://www.google.co.id/maps/place/Tsabita+Foto+Copy/data=!4m7!3m6!1s0x2e7a59f1ec26862f:0x7bff719ee4e1af33!8m2!3d-7.7789758!4d110.4154346!16s%2Fg%2F1pzv4xv59!19sChIJL4Ym7PFZei4RM6_h5J5x_3s?authuser=0&hl=id&rclk=1,Tsabita Foto Copy,"4,5",-8,Toko Fotokopi,·,"6CC8+C53, Jl. Babarsari",,,,(0274) 484502,,Rute,,,,,,
https://www.google.co.id/maps/place/Andi+Photo+Copy/data=!4m7!3m6!1s0x2e7a5790ed58928f:0xb0b11e9d7f64bb32!8m2!3d-7.8022951!4d110.4029334!16s%2Fg%2F11t57x7vwy!19sChIJj5JY7ZBXei4RMrtkf50esbA?authuser=0&hl=id&rclk=1,Andi Photo Copy,"4,2",-162,Toko Fotokopi,·,·,Buka,· Tutup pukul 21.00,Jl. Wonocatur No.09,0817-9437-043,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Abang nya yg rambut pendek sangat membantu sekali ramah juga.""",,·,,
https://www.google.co.id/maps/place/foto+copy+24+jam+BERKAH+JAYA+BERSAMA/data=!4m7!3m6!1s0x2e7a594960e4c5ff:0xc62f33dab362beae!8m2!3d-7.7734118!4d110.3889855!16s%2Fg%2F11trdmlksk!19sChIJ_8XkYElZei4Rrr5is9ozL8Y?authuser=0&hl=id&rclk=1,foto copy 24 jam BERKAH JAYA BERSAMA,"4,5",-58,Toko Fotokopi,·,·,Buka 24 jam,,Gg. Guru No.3a,0895-3346-69080,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Harga murah, kualitas bagus, cepat""",,·,,
https://www.google.co.id/maps/place/Nologaten+Copy+Center/data=!4m7!3m6!1s0x2e7a59c18861f0d5:0x3cec2659da51b6b8!8m2!3d-7.778735!4d110.4001941!16s%2Fg%2F11c6y_rg_x!19sChIJ1fBhiMFZei4RuLZR2lkm7Dw?authuser=0&hl=id&rclk=1,Nologaten Copy Center,"4,0",-43,Toko Fotokopi,·,·,Buka,· Tutup pukul 22.00,Jl. Nologaten No.254,0812-2684-4790,,Rute,,,,·,,
https://www.google.co.id/maps/place/Global+Digital+Printing+UPN+YK+buka+24+jam/data=!4m7!3m6!1s0x2e7a595e49e756cf:0x76df9c8c3af0a4a0!8m2!3d-7.7648123!4d110.4111895!16s%2Fg%2F11qnkn2kln!19sChIJz1bnSV5Zei4RoKTwOoyc33Y?authuser=0&hl=id&rclk=1,Global Digital Printing UPN YK buka 24 jam,"3,3",-32,Toko Fotokopi,·,"Komplek Ruko, Jl. Seturan Raya Puluhdadi No.b20",Buka 24 jam,,·,0822-2037-9858,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Harga juga tergolong bersaing, dan hasil",,,print,"-nya memuaskan."""
https://www.google.co.id/maps/place/Difano+Jaya+Copier/data=!4m7!3m6!1s0x2e7a59007a2245fd:0x755c801fc0787c25!8m2!3d-7.7771379!4d110.4082833!16s%2Fg%2F11ypqp3ynn!19sChIJ_UUiegBZei4RJXx4wB-AXHU?authuser=0&hl=id&rclk=1,Difano Jaya Copier,"5,0",-1,Toko Fotokopi,·,Jl. Kledokan V No.12b,,,,,,Rute,,,,,,
https://www.google.co.id/maps/place/DESYA+photo+Copy+%26+print/data=!4m7!3m6!1s0x2e7a59f0694a9c65:0x88643b98c5add747!8m2!3d-7.7822913!4d110.4161938!16s%2Fg%2F11f15mk2m8!19sChIJZZxKafBZei4RR9etxZg7ZIg?authuser=0&hl=id&rclk=1,DESYA photo Copy & print,"4,6",-7,Toko Fotokopi,·,Jl. Tambak Bayan III No.1,Tutup,· Buka Sen pukul 06.00,·,0878-3038-9910,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Tempat parkir khususnya tidak ada, dan tempatnya sejuk.""",,,,
"https://www.google.co.id/maps/place/Rental,+Fotocopy+%26+Service+Laptop+Sahabat/data=!4m7!3m6!1s0x2e7a59e224069f37:0x93acf0bf03d78b07!8m2!3d-7.792282!4d110.408736!16s%2Fg%2F11c1m930cq!19sChIJN58GJOJZei4RB4vXA7_wrJM?authuser=0&hl=id&rclk=1","Rental, Fotocopy & Service Laptop Sahabat","4,2",-33,Toko Fotokopi,·,·,Buka,· Tutup pukul 00.00,Karang Jambe Jalan Janti No.138 Gang Puntodewo Banguntapan,,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pernah",,,fotokopi,"disini, pelayanan lamaaa sekali."""
https://www.google.co.id/maps/place/Sekar+Langit+Print+%26+Copy+Centre/data=!4m7!3m6!1s0x2e7a59ecce20dd09:0x24d9935525c4854f!8m2!3d-7.7743464!4d110.4153533!16s%2Fg%2F12lst5y0h!19sChIJCd0gzuxZei4RT4XEJVWT2SQ?authuser=0&hl=id&rclk=1,Sekar Langit Print & Copy Centre,"3,7",-7,Toko Alat Tulis,·,"6CG8+749, Jl. Babarsari",·,Tutup,· Buka Sen pukul 08.00,(0274) 7882229,,Situs Web,,,,,,
https://www.google.co.id/maps/place/Foto+Copy+Sahumpun/data=!4m7!3m6!1s0x2e7a597eb4a39485:0x56526b46b99f522c!8m2!3d-7.7771642!4d110.408282!16s%2Fg%2F11s45yc_fj!19sChIJhZSjtH5Zei4RLFKfuUZrUlY?authuser=0&hl=id&rclk=1,Foto Copy Sahumpun,,,Toko Fotokopi,·,Jl. Kledokan V No.12b,Buka,· Tutup pukul 22.00,,,,Rute,,,,,,
https://www.google.co.id/maps/place/Merkurius+Fotokopi/data=!4m7!3m6!1s0x2e7a59b0b784aacd:0xd2d8be7f8d117d8b!8m2!3d-7.7685152!4d110.3892018!16s%2Fg%2F11bzrq9r9n!19sChIJzaqEt7BZei4Ri30RjX--2NI?authuser=0&hl=id&rclk=1,Merkurius Fotokopi,"4,7",-162,Toko Fotokopi,·,·,Buka,· Tutup pukul 21.00,"CTX, Jl. Flamboyan No.11A",0813-2847-8042,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Tempatnya bagus dan mau membantu mahasiswa baru untuk membuat name tag.""",,·,,
https://www.google.co.id/maps/place/Putra+Fotokopi/data=!4m7!3m6!1s0x2e7a599063df84d9:0x6548370e72380cc1!8m2!3d-7.7639774!4d110.4115393!16s%2Fg%2F11cs0f1qf8!19sChIJ2YTfY5BZei4RwQw4cg43SGU?authuser=0&hl=id&rclk=1,Putra Fotokopi,"4,9",-13,Toko Fotokopi,·,·,Tutup,· Buka Sen pukul 07.00,Jl. Seturan Raya Gg. Puluhdadi No.399,0852-2889-6279,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""File bisa dikirim lewat WA, nanti kirim Gojek buat ngambil.""",,·,,
"https://www.google.co.id/maps/place/Fotocopy,+Printing,+Jilid,+ATK+%26+Percetakan+berkualitas+%28Fajar+Copy+Paste%29+by+CV.+FAJAR+NOESANTARA/data=!4m7!3m6!1s0x2e7a59b74acc80d7:0x3d0cc502caf19674!8m2!3d-7.7691574!4d110.389133!16s%2Fg%2F11b645w6_c!19sChIJ14DMSrdZei4RdJbxygLFDD0?authuser=0&hl=id&rclk=1","Fotocopy, Printing, Jilid, ATK & Percetakan berkualitas (Fajar Copy Paste) by CV. FAJAR NOESANTARA","4,8",-276,Industri Percetakan,·,·,Segera tutup,· 20.00 · Buka Sen pukul 08.00,"Karangasem, Jl. Flamboyan CTX No.06",0878-3860-6926,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Hasil cetakan,",,·,print,"hitam-putih, warna, scan warna bagus 👍🏻😄"""
https://www.google.co.id/maps/place/Ahza+fc/data=!4m7!3m6!1s0x2e7a598afa030d8d:0x5a1512781dcc1231!8m2!3d-7.7703178!4d110.4238774!16s%2Fg%2F11g8ygnjrz!19sChIJjQ0D-opZei4RMRLMHXgSFVo?authuser=0&hl=id&rclk=1,Ahza fc,"4,5",-6,Toko Fotokopi,·,·,Buka,· Tutup pukul 22.00,Jl. Nangka III No.44a,,,Rute,,,,,,
https://www.google.co.id/maps/place/Almande+Foto+Copy+%26+Penjilidan/data=!4m7!3m6!1s0x2e7a59870882fa33:0x1771a83df9c6afe7!8m2!3d-7.7595275!4d110.4239838!16s%2Fg%2F11h3bh9fv3!19sChIJM_qCCIdZei4R56_G-T2ocRc?authuser=0&hl=id&rclk=1,Almande Foto Copy & Penjilidan,"4,5",-47,Toko Fotokopi,·,Jl. Timbulrejo,Buka,· Tutup pukul 23.00,·,0822-1846-6555,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""pelayanan cepat, jilid skripsi bisa ditunggu dengan harga ekspress.""",,,,
https://www.google.co.id/maps/place/Aulia+Fotocopy+Yogyakarta/data=!4m7!3m6!1s0x2e7a59e8e9e6d69f:0x7105198ccd0d9f34!8m2!3d-7.7821809!4d110.406642!16s%2Fg%2F11b66k5lsb!19sChIJn9bm6ehZei4RNJ8NzYwZBXE?authuser=0&hl=id&rclk=1,Aulia Fotocopy Yogyakarta,"4,8",-17,Layanan cetak digital,·,Jl. Laksda Adisucipto No.20A,Tutup,· Buka Sen pukul 08.00,·,0851-0289-5503,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Terdekat dr pusat kota... sangat membantu ,👍""",,,,
https://www.google.co.id/maps/place/Fotokopi+Restu+Abadi/data=!4m7!3m6!1s0x2e7a59bbf030c779:0x3d31ca128e135c89!8m2!3d-7.7678355!4d110.3958084!16s%2Fg%2F11b64mbfkz!19sChIJeccw8LtZei4RiVwTjhLKMT0?authuser=0&hl=id&rclk=1,Fotokopi Restu Abadi,"3,4",-77,Toko Fotokopi,·,Jl. Tantular No.91,Buka,· Tutup pukul 21.00,·,0882-1486-6609,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",,,fotokopi,"langganan, hasil cetak bagus dan bersih."""
https://www.google.co.id/maps/place/Terang+Photo+Copy/data=!4m7!3m6!1s0x2e7a59976f0d802f:0x88679c103ef4c19b!8m2!3d-7.7628349!4d110.4064166!16s%2Fg%2F1pzs4ywyd!19sChIJL4ANb5dZei4Rm8H0PhCcZ4g?authuser=0&hl=id&rclk=1,Terang Photo Copy,"4,8",-12,Toko Fotokopi,·,"Ruko Gorongan, Jl. Perumnas No.25",Buka,· Tutup pukul 22.00,·,0813-2791-6216,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""",,,Copy,"disini lancar hasil ok"""
https://www.google.co.id/maps/place/Nusa+Indah+2+Fotocopy/data=!4m7!3m6!1s0x2e7a599b1a3446bb:0xd8dbcd55dae368d1!8m2!3d-7.7598314!4d110.4123962!16s%2Fg%2F11b6j8x6fx!19sChIJu0Y0GptZei4R0Wjj2lXN29g?authuser=0&hl=id&rclk=1,Nusa Indah 2 Fotocopy,"4,5",-136,Toko Fotokopi,·,Jl. Prawiro Kuat,Buka,· Tutup pukul 22.00,·,0818-0437-6790,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Mahal.jika dibandingkan dekat UGM, ibunya cukup baik, namun lama T.T""",,,,
"https://www.google.co.id/maps/place/Toko+Karunia+%28Fotocopy,+ATK,+Toserba%29/data=!4m7!3m6!1s0x2e7a592afacd45f3:0xfa914b811f669b40!8m2!3d-7.7927493!4d110.4015662!16s%2Fg%2F11wg3w24vv!19sChIJ80XN-ipZei4RQJtmH4FLkfo?authuser=0&hl=id&rclk=1","Toko Karunia (Fotocopy, ATK, Toserba)","5,0",-1,Toko Fotokopi,·,"Jl. Pura Jl. Sorowajan No.190, RT.09/RW.11",Buka,· Tutup pukul 21.00,,,,Rute,,,,,,
https://www.google.co.id/maps/place/Arya+Shaka%28%EA%A6%84%EA%A6%82%EA%A6%AA%EA%A6%B1%EA%A6%8F%29/data=!4m7!3m6!1s0x2e7a57502121b9a3:0x7a836bfefbeb7097!8m2!3d-7.803705!4d110.4161226!16s%2Fg%2F11b6dfqmcd!19sChIJo7khIVBXei4Rl3Dr-_5rg3o?authuser=0&hl=id&rclk=1,Arya Shaka(ꦄꦂꦪꦱꦏ),"4,3",-27,Toko Fotokopi,·,"Jl. Cendrawasih No.220, Jl. Maguwo No.RT.15",Buka,· Tutup pukul 21.00,·,0878-3799-8440,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Harga terjangkau sekali.""",,,,
https://www.google.co.id/maps/place/Bandicota+Fotocopy/data=!4m7!3m6!1s0x2e7a5987d95b7b2d:0x914bc665625bc90a!8m2!3d-7.7619905!4d110.4242034!16s%2Fg%2F11b75htzd6!19sChIJLXtb2YdZei4RCslbYmXGS5E?authuser=0&hl=id&rclk=1,Bandicota Fotocopy,"4,6",-28,Toko Fotokopi,·,"Jalan Nangka 2 No.223, Karangnongko",·,Buka,· Tutup pukul 23.00,0838-9927-0056,,Situs Web,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""tempat",,,print,+
https://www.google.co.id/maps/place/HR+Foto+Copy/data=!4m7!3m6!1s0x2e7a59e9d7c7285b:0x955fecbe56222130!8m2!3d-7.7799512!4d110.4040363!16s%2Fg%2F11c1wr9ghn!19sChIJWyjH1-lZei4RMCEiVr7sX5U?authuser=0&hl=id&rclk=1,HR Foto Copy,"5,0",-2,Toko Fotokopi,·,"Jalan Laksda Adisucipto Km 5 Gang Tempel Caturtunggal Depok Sleman Tempel, 282.rt 08, RT.08/RW.03",Segera tutup,· 20.00 · Buka Sen pukul 07.00,·,0853-2597-3191,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pelayanan ramah.""",,,,
"https://www.google.co.id/maps/place/fotokopi+Almande2+Kalasan,+jasa+penjilidtan+jual+alat+tulis+perkantoran+kalasan/data=!4m7!3m6!1s0x2e7a5b0071d0ae43:0xd6499e7723da11c5!8m2!3d-7.7593115!4d110.4491885!16s%2Fg%2F11wy1ql4lx!19sChIJQ67QcQBbei4RxRHaI3eeSdY?authuser=0&hl=id&rclk=1","fotokopi Almande2 Kalasan, jasa penjilidtan jual alat tulis perkantoran kalasan","4,9",-40,Toko Fotokopi,·,6CRX+7MG,·,Buka,· Tutup pukul 21.00,0813-1281-9172,,Situs Web,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Bagus banget",,,print,"warna jelas banget dan nge jilid rapi cepat juga"""
https://www.google.co.id/maps/place/Excellent+Fotocopy+Solution+%28Spesialist+Print+%26+Jilid+HARDCOVER+KILAT+1+JAM%29/data=!4m7!3m6!1s0x2e7af9d62b316407:0x489f0ddfd9648b7!8m2!3d-7.8142096!4d110.3282174!16s%2Fg%2F11lf4z99lb!19sChIJB2QxK9b5ei4Rt0iW_d3wiQQ?authuser=0&hl=id&rclk=1,Excellent Fotocopy Solution (Spesialist Print & Jilid HARDCOVER KILAT 1 JAM),"4,9",-99,Toko Percetakan,·,Jl. Sunan Kudus,Buka,· Tutup pukul 00.00,·,0895-2515-2826,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pelayanannya bagus gercap kualitas baik murah lagi.""",,,,
https://www.google.co.id/maps/place/WSR+Digital+Print/data=!4m7!3m6!1s0x2e7a5bb5521e2249:0x5437e336c1432d66!8m2!3d-7.7852359!4d110.447327!16s%2Fg%2F11ypb3zwkk!19sChIJSSIeUrVbei4RZi1DwTbjN1Q?authuser=0&hl=id&rclk=1,WSR Digital Print,,,Layanan cetak digital,·,"Jl. Jagalan Utara, RT.07/RW.03",Tutup,· Buka Sen pukul 08.00,·,0882-0057-92671,,Rute,,,,,,
"https://www.google.co.id/maps/place/Ranjana+Fotocopy+Express+%28SPESIALIS+JILID+SKRIPSI+BISA+DITUNGGU,+TESIS,+BUKU,+MIKA,+HARD+COVER,+SOFT+COVER%29/data=!4m7!3m6!1s0x2e7a575807516ebf:0x65cc5c924e0324f5!8m2!3d-7.8070041!4d110.3392713!16s%2Fg%2F11g_v6sxt1!19sChIJv25RB1hXei4R9SQDTpJczGU?authuser=0&hl=id&rclk=1","Ranjana Fotocopy Express (SPESIALIS JILID SKRIPSI BISA DITUNGGU, TESIS, BUKU, MIKA, HARD COVER, SOFT COVER)","4,3",-265,Toko Fotokopi,·,·,Jl. Sonosewu Baru,Buka,· Tutup pukul 00.00,0895-1503-6040,,Situs Web,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Fotokopian dekat kampus UPY yg buka sampai jam 12 malam.""",,·,,
https://www.google.co.id/maps/place/Fotocopy+Flash+Net/data=!4m7!3m6!1s0x2e7a5bcab7136f1f:0x19faa94f65c5f69d!8m2!3d-7.7488733!4d110.4490872!16s%2Fg%2F11b6q4n746!19sChIJH28Tt8pbei4RnfbFZU-p-hk?authuser=0&hl=id&rclk=1,Fotocopy Flash Net,"4,7",-106,Toko Fotokopi,·,·,Buka,· Tutup pukul 22.00,"Jl. Purwomartani Jl. Japlaksari No.15, RT.18/RW.02",0857-1305-1972,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Pelayanan ramah, hasilnya",,·,fotokopi,"bagus, harganya murah"""
https://www.google.co.id/maps/place/FotoCopy+Surya+Jaya/data=!4m7!3m6!1s0x2e7a5a14b022d435:0x90ef52101e72d20f!8m2!3d-7.775692!4d110.4494023!16s%2Fg%2F11b6qjl4rz!19sChIJNdQisBRaei4RD9JyHhBS75A?authuser=0&hl=id&rclk=1,FotoCopy Surya Jaya,"4,5",-34,Toko Fotokopi,·,·,Tutup,· Buka Sen pukul 08.00,"Kadirojo, Purwomartani",0822-4203-2190,,Rute,https://ssl.gstatic.com/local/servicebusiness/default_user.png,"""Murahhh pollll.... Langsung hubungi kontak yg tertera di google""",,·,,
